domain,problem,agents,heuristic,recursionLevel,totalTime,initHeuristic,initHeuristicDist,searchTime,expandedStates,expandedStatesGlobal,expandedStatesLocal,searchMessages,heuristicRequestMessages,heuristicReplyMessages,totalMessages,totalBytes,globalSearchTime,localSearchTime,globalHeuristicTime,localHeuristicTime,otherHeuristicTime,searchTimes,globalSearchTimes,localSearchTimes,globalHeuristicTimes,localHeuristicTimes,otherHeuristicTimes,planLength,maxRecursionDepth,planValid,finished
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_60.pddl,3,saFF-glcl,-1,194,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,244,16,228,76,74,73,223,7580,0,0,0,0,0,,,,,,,26,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_62.pddl,3,saFF-glcl,-1,183,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,515,19,496,161,89,89,339,11452,0,0,0,0,0,,,,,,,30,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_63.pddl,3,saFF-glcl,-1,226,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,482,10,471,149,46,47,242,8060,0,0,0,0,0,,,,,,,22,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_87.pddl,3,saFF-glcl,-1,226,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,1031,57,975,218,216,214,648,21816,0,0,0,0,0,,,,,,,25,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_89.pddl,3,saFF-glcl,-1,160,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,241,10,231,71,44,45,160,5400,0,0,0,0,0,,,,,,,25,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/domain.pddl,3,saFF-glcl,-1,197,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,392,14,378,102,66,65,233,7880,0,0,0,0,0,,,,,,,31,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_12.pddl,3,saFF-glcl,-1,168,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,298,12,286,101,56,56,213,7196,0,0,0,0,0,,,,,,,28,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_30.pddl,3,saFF-glcl,-1,177,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,345,38,308,93,166,165,424,14472,0,0,0,0,0,,,,,,,28,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_60.pddl,3,saFF-glcl,-1,175,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,180,16,165,52,74,75,201,6904,0,0,0,0,0,,,,,,,30,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_62.pddl,3,saFF-glcl,-1,198,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,541,10,531,175,47,48,270,8840,0,0,0,0,0,,,,,,,28,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_63.pddl,3,saFF-glcl,-1,166,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,210,17,193,69,80,81,230,7788,0,0,0,0,0,,,,,,,32,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_87.pddl,3,saFF-glcl,-1,197,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,577,16,562,168,73,74,315,10492,0,0,0,0,0,,,,,,,26,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_89.pddl,3,saFF-glcl,-1,207,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,260,8,253,78,34,36,148,4992,0,0,0,0,0,,,,,,,26,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/domain.pddl,3,saFF-glcl,-1,208,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,280,15,265,99,68,68,235,8028,0,0,0,0,0,,,,,,,24,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_12.pddl,3,saFF-glcl,-1,173,{tru1=1 apn1=1},{tru1=2 tru2=1},0,17,2,15,12,2,1,15,480,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_30.pddl,3,saFF-glcl,-1,182,{tru1=1 apn1=1},{tru2=1 apn1=2},0,80,3,78,63,4,2,69,2172,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_60.pddl,3,saFF-glcl,-1,168,{tru2=1 apn1=2},{tru1=1},0,9,1,9,7,2,0,9,264,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_62.pddl,3,saFF-glcl,-1,167,{tru2=1 apn1=1},{tru1=1},0,15,1,14,11,3,1,15,496,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_63.pddl,3,saFF-glcl,-1,172,{tru1=1 apn1=1},{tru2=1},0,30,3,27,17,2,1,20,596,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_87.pddl,3,saFF-glcl,-1,164,{tru1=2 tru2=2 apn1=1},{tru1=1 tru2=2},0,24,2,23,16,3,3,22,688,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_89.pddl,3,saFF-glcl,-1,166,{tru1=1 tru2=1},{tru1=1 apn1=1},0,90,2,88,74,3,1,78,2500,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/domain.pddl,3,saFF-glcl,-1,159,{tru2=1},{apn1=1},0,17,1,16,15,2,0,17,560,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_12.pddl,3,saFF-glcl,-1,161,{tru1=1 apn1=1},{tru2=1},0,23,1,22,14,1,0,15,488,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_30.pddl,3,saFF-glcl,-1,172,{tru1=1 apn1=1},{tru1=2 tru2=1},0,24,3,22,16,3,1,20,612,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_60.pddl,3,saFF-glcl,-1,185,{tru2=1 apn1=2},{tru1=1 apn1=1},0,42,2,40,29,3,1,33,1060,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_62.pddl,3,saFF-glcl,-1,165,{tru2=2 apn1=1},{tru1=1},0,12,1,12,10,3,1,14,464,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_63.pddl,3,saFF-glcl,-1,171,{tru1=1 apn1=1},{tru2=1 apn1=1},0,16,4,12,9,3,1,13,424,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_87.pddl,3,saFF-glcl,-1,169,{tru1=2 tru2=2 apn1=1},{tru1=1 tru2=2 apn1=2},0,46,3,44,32,4,3,39,1240,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_89.pddl,3,saFF-glcl,-1,166,{tru1=1 tru2=1},{apn1=1},0,23,1,22,19,1,0,20,648,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/domain.pddl,3,saFF-glcl,-1,144,{tru1=1 tru2=1},{apn1=1},0,37,1,36,32,1,1,34,1076,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_12.pddl,3,saFF-glcl,-1,180,{tru1=1 apn1=1},{tru2=1},0,20,1,19,17,2,0,19,624,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_30.pddl,3,saFF-glcl,-1,181,{tru1=1 apn1=1},{tru1=2 tru2=1 apn1=2},0,124,4,120,77,3,2,82,2572,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_60.pddl,3,saFF-glcl,-1,159,{tru2=1 apn1=1},{tru1=1},0,14,1,13,7,2,0,9,304,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_62.pddl,3,saFF-glcl,-1,167,{tru2=1 apn1=1},{tru1=1},0,4,1,3,1,3,1,5,176,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_63.pddl,3,saFF-glcl,-1,169,{tru1=1 apn1=1},{tru1=1 tru2=1 apn1=1},0,25,5,20,15,5,3,23,716,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_87.pddl,3,saFF-glcl,-1,168,{tru1=2 tru2=1 apn1=1},{tru1=1},0,22,1,21,18,2,0,20,656,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_89.pddl,3,saFF-glcl,-1,167,{tru1=1 tru2=1},{apn1=1},0,22,1,21,19,1,0,21,680,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/domain.pddl,3,saFF-glcl,-1,147,{tru1=1 tru2=1},{apn1=1},0,12,1,11,9,2,0,11,368,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_12.pddl,3,saFF-glcl,-1,215,{tru1=1 apn1=1},{tru2=1},0,19,1,18,17,2,0,19,624,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_30.pddl,3,saFF-glcl,-1,190,{tru1=1 apn1=1},{tru1=2 tru2=1 apn1=2},0,58,4,54,47,5,3,55,1752,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_60.pddl,3,saFF-glcl,-1,170,{tru2=1 apn1=1},{tru1=1},0,8,1,7,4,2,0,6,208,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_62.pddl,3,saFF-glcl,-1,182,{tru2=1 apn1=2},{tru1=1 tru2=2},0,31,2,29,25,4,2,31,944,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_63.pddl,3,saFF-glcl,-1,170,{tru1=1 apn1=1},{tru1=1 tru2=1 apn1=1},0,13,5,8,6,3,2,11,336,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_87.pddl,3,saFF-glcl,-1,173,{tru1=2 tru2=1 apn1=1},{tru1=1 tru2=2 apn1=2},0,29,3,26,20,6,3,29,900,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_89.pddl,3,saFF-glcl,-1,170,{tru1=2 tru2=1},{apn1=1},0,27,1,26,24,2,1,27,860,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/domain.pddl,3,saFF-glcl,-1,157,{tru1=1 tru2=1},{apn1=1},0,18,1,17,12,2,0,14,464,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_12.pddl,3,saFF-glcl,-1,166,{tru1=1 apn1=1},{tru2=1 apn1=2},0,27,2,25,19,3,1,23,744,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_12.pddl,3,saFF-glcl,-1,1991,{tru1=1 apn1=1},{tru2=1},0,65,1,64,49,2,0,51,1648,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_12.pddl,3,saFF-glcl,-1,406,{tru1=1 apn1=1},{tru2=1},0,18,1,17,13,2,0,15,496,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_12.pddl,3,saFF-glcl,-1,1558,{tru1=1 apn1=1},{tru2=1},0,41,1,40,35,2,0,37,1200,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_30.pddl,3,saFF-glcl,-1,467,{tru1=1 apn1=1},{tru2=1},0,29,2,27,23,2,0,25,816,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_60.pddl,3,saFF-glcl,-1,443,{tru2=1 apn1=1},{tru1=1},0,26,1,25,17,2,0,19,624,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_62.pddl,3,saFF-glcl,-1,453,{tru2=1 apn1=1},{tru1=1},0,41,1,40,32,3,1,36,1168,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_63.pddl,3,saFF-glcl,-1,467,{tru1=1 apn1=1},{tru1=1 tru2=1 apn1=1},0,36,5,31,25,6,2,33,1064,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_87.pddl,3,saFF-glcl,-1,468,{tru1=2 tru2=1 apn1=1},{tru1=1},0,49,1,48,35,3,1,39,1264,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_89.pddl,3,saFF-glcl,-1,424,{tru1=1 tru2=1},{apn1=1},0,30,1,29,22,2,0,24,784,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_10.pddl,3,saFF-glcl,-1,592,{tru1=3 tru2=3 apn1=3},{tru1=3 tru2=3 apn1=3},0,105,3,102,81,8,8,97,3020,0,0,0,0,0,,,,,,,3,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_16.pddl,3,saFF-glcl,-1,500,{tru1=3 tru2=3 apn1=3},{tru1=3 tru2=4 apn1=4},0,86,4,82,60,10,10,80,2456,0,0,0,0,0,,,,,,,3,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_18.pddl,3,saFF-glcl,-1,441,{tru1=2 tru2=1 apn1=1},{tru1=1},0,62,1,61,48,3,1,52,1680,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_19.pddl,3,saFF-glcl,-1,445,{tru1=3 tru2=3 apn1=3},{tru1=4 tru2=4 apn1=5},0,43,6,37,29,13,13,55,1648,0,0,0,0,0,,,,,,,3,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_21.pddl,3,saFF-glcl,-1,439,{tru1=3 tru2=1 apn1=3},{tru1=3 tru2=3 apn1=3},0,42,4,38,29,6,4,39,1256,0,0,0,0,0,,,,,,,3,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_23.pddl,3,saFF-glcl,-1,482,{tru1=3 tru2=3 apn1=3},{tru1=4 tru2=4 apn1=5},0,71,5,66,45,12,11,68,2084,0,0,0,0,0,,,,,,,3,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_28.pddl,3,saFF-glcl,-1,443,{tru1=3 tru2=3 apn1=3},{tru2=3 apn1=4},0,62,3,59,42,6,5,53,1668,0,0,0,0,0,,,,,,,3,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_2.pddl,3,saFF-glcl,-1,462,{tru1=4 tru2=4 apn1=4},{tru1=8 tru2=7 apn1=6},0,103,3,100,70,13,12,95,2980,0,0,0,0,0,,,,,,,5,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_35.pddl,3,saFF-glcl,-1,423,{tru2=1 apn1=1},{tru1=1},0,22,1,21,18,3,0,21,696,0,0,0,0,0,,,,,,,1,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_39.pddl,3,saFF-glcl,-1,432,{tru1=3 tru2=3 apn1=3},{tru1=4 tru2=3 apn1=4},0,53,3,50,36,9,6,51,1636,0,0,0,0,0,,,,,,,3,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_42.pddl,3,saFF-glcl,-1,421,{tru1=3 tru2=3 apn1=3},{tru2=3 apn1=3},0,68,2,66,43,7,6,56,1760,0,0,0,0,0,,,,,,,3,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_45.pddl,3,saFF-glcl,-1,426,{tru1=3 tru2=3 apn1=3},{tru1=4 tru2=3 apn1=4},0,49,3,46,32,6,6,44,1344,0,0,0,0,0,,,,,,,3,0,true,true
mapddl-problems/logistics00,mapddl-problems/logistics00/probLOGISTICS-4-0_46.pddl,3,saFF-glcl,-1,473,{tru1=3 tru2=3 apn1=3},{tru1=4 tru2=4 apn1=5},0,64,3,61,43,10,9,62,1912,0,0,0,0,0,,,,,,,3,0,true,true
